from,to,relation,time,topicality,location
Bayer,RZH,2,3,1,1
Bayer,DW,2,3,1,1
Bayer,HAB,2,3,1,1
Bayer,BI,9,NA,1,2
Bayer,BMP,2,3,1,1
Bayer,eM,9,NA,1,2
Bayer,MIG,3,NA,1,1
Bayer,ONET,1,NA,1,2
Bayer,RAS,7,NA,1,2
Deutz,STE,2,2,2,1
Deutz,Springer,2,3,1,1
Deutz,Springer,9,2,1,1
Deutz,AWI,1,NA,1,1
Deutz,RAS,7,NA,1,2
Deutz,ASDCF,1,NA,1,2
Deutz,COMT,7,NA,1,2
Deutz,DTV,1,NA,1,2
Deutz,JF,7,NA,1,2
Deutz,SeL,1,NA,1,2
Deutz,StSt,1,NA,1,1
Caspar,MKS,11,NA,2,1
Caspar,EBAY,8,NA,2,1
Caspar,IMS,2,NA,2,1
Caspar,MPO,2,3,1,1
Caspar,Springer,9,1,1,1
Caspar,DW,2,NA,1,1
Caspar,MIG,3,1,1,1
Caspar,VVIM,3,1,1,1
Wiele,HP,8,NA,2,1
Wiele,GJ,9,NA,2,1
Wiele,CaM,15,1,2,2
Wiele,GEO,15,1,2,2
Wiele,FCM,15,1,2,2
Wiele,MCM,15,1,2,2
Wiele,Springer,9,3,1,1
Wiele,BILD,9,3,1,1
Wiele,ClM,9,1,1,1
Wiele,LEI,9,NA,1,2
Wiele,AWI,1,NA,1,1
Wiele,ASDCF,1,NA,1,2
Wiele,BI,2,NA,1,2
Wiele,CBMF,1,NA,1,2
Wiele,CTI,2,NA,1,2
Wiele,ECM,3,NA,1,1
Wiele,IMMO,7,NA,1,2
Wiele,IMMOD,1,NA,1,1
Wiele,MAG,7,NA,1,2
Wiele,MeSt,1,NA,1,1
Wiele,SeL,1,NA,1,2
Wiele,StSt,1,NA,1,1
Karp,PT,16,3,1,2
Karp,EC,1,1,1,2
Karp,Springer,1,1,1,1
Karp,BK,17,NA,1,NA
Knobloch,WB,18,3,1,2
Knobloch,TW,8,NA,2,2
Knobloch,AH,1,NA,1,2
Knobloch,LAZ,1,1,1,2
Knobloch,AHP,1,NA,1,2
Knobloch,Springer,1,NA,1,1
